file,n_size,difficulty,solved,nodes_expanded,time_seconds,solution_length,reason
3x3/dificiles/64.txt,3,dificiles,True,814,0.0033,12,OK
3x3/dificiles/65.txt,3,dificiles,True,4175,0.0655,26,OK
3x3/dificiles/66.txt,3,dificiles,True,1489,0.0191,24,OK
3x3/dificiles/67.txt,3,dificiles,True,938,0.0074,24,OK
3x3/dificiles/68.txt,3,dificiles,True,2980,0.0501,24,OK
3x3/dificiles/69.txt,3,dificiles,True,887,0.0064,20,OK
3x3/dificiles/70.txt,3,dificiles,True,2640,0.04,26,OK
3x3/dificiles/71.txt,3,dificiles,True,3922,0.0732,26,OK
3x3/dificiles/72.txt,3,dificiles,True,1549,0.0253,24,OK
3x3/dificiles/73.txt,3,dificiles,True,852,0.0058,22,OK
3x3/dificiles/74.txt,3,dificiles,True,6590,0.0928,24,OK
3x3/dificiles/75.txt,3,dificiles,True,15403,0.2342,28,OK
3x3/dificiles/76.txt,3,dificiles,True,1646,0.029,24,OK
3x3/dificiles/77.txt,3,dificiles,True,1780,0.0301,22,OK
3x3/dificiles/78.txt,3,dificiles,True,1842,0.0338,24,OK
3x3/dificiles/79.txt,3,dificiles,True,844,0.0059,20,OK
3x3/dificiles/80.txt,3,dificiles,True,1144,0.0246,20,OK
3x3/dificiles/81.txt,3,dificiles,True,954,0.0145,20,OK
3x3/dificiles/82.txt,3,dificiles,True,5064,0.0822,28,OK
3x3/dificiles/83.txt,3,dificiles,True,1017,0.0111,24,OK
3x3/dificiles/84.txt,3,dificiles,True,2225,0.0396,20,OK
3x3/dificiles/85.txt,3,dificiles,True,1500,0.0242,22,OK
3x3/dificiles/86.txt,3,dificiles,True,6485,0.0964,26,OK
3x3/dificiles/87.txt,3,dificiles,True,1337,0.0183,22,OK
3x3/dificiles/88.txt,3,dificiles,True,1519,0.0251,24,OK
3x3/dificiles/89.txt,3,dificiles,True,3396,0.0553,26,OK
3x3/dificiles/90.txt,3,dificiles,True,1060,0.0214,22,OK
3x3/dificiles/91.txt,3,dificiles,True,836,0.0059,16,OK
3x3/dificiles/92.txt,3,dificiles,True,1843,0.0342,22,OK
3x3/dificiles/93.txt,3,dificiles,True,855,0.0086,14,OK
3x3/dificiles/94.txt,3,dificiles,True,6182,0.0973,24,OK
3x3/dificiles/95.txt,3,dificiles,True,2214,0.0356,24,OK
3x3/dificiles/96.txt,3,dificiles,True,2916,0.0483,26,OK
3x3/dificiles/97.txt,3,dificiles,True,4031,0.0756,26,OK
3x3/dificiles/98.txt,3,dificiles,True,3895,0.0604,24,OK
3x3/dificiles/99.txt,3,dificiles,True,894,0.014,18,OK
3x3/dificiles/100.txt,3,dificiles,True,4572,0.0635,28,OK
4x4/faciles/1.txt,4,faciles,True,1041,0.0084,10,OK
4x4/faciles/2.txt,4,faciles,True,1060,0.0088,10,OK
4x4/faciles/3.txt,4,faciles,True,1067,0.0163,10,OK
4x4/faciles/4.txt,4,faciles,True,1042,0.0084,10,OK
4x4/faciles/5.txt,4,faciles,True,1048,0.0086,10,OK
4x4/faciles/6.txt,4,faciles,True,1060,0.0082,10,OK
4x4/faciles/7.txt,4,faciles,True,1042,0.0085,10,OK
4x4/faciles/8.txt,4,faciles,True,1040,0.0081,10,OK
4x4/faciles/9.txt,4,faciles,True,1067,0.0165,10,OK
4x4/faciles/10.txt,4,faciles,True,1049,0.0089,10,OK
4x4/faciles/11.txt,4,faciles,True,1042,0.0091,10,OK
4x4/faciles/12.txt,4,faciles,True,1049,0.0077,10,OK
4x4/faciles/13.txt,4,faciles,True,1041,0.0081,10,OK
4x4/faciles/14.txt,4,faciles,True,1042,0.0086,10,OK
4x4/faciles/15.txt,4,faciles,True,1055,0.0091,10,OK
4x4/faciles/16.txt,4,faciles,True,1042,0.0089,10,OK
4x4/faciles/17.txt,4,faciles,True,1042,0.0091,10,OK
4x4/faciles/18.txt,4,faciles,True,1055,0.0087,10,OK
4x4/faciles/19.txt,4,faciles,True,1062,0.0162,10,OK
4x4/faciles/20.txt,4,faciles,True,1049,0.0085,10,OK
4x4/faciles/21.txt,4,faciles,True,1048,0.0085,10,OK
4x4/faciles/22.txt,4,faciles,True,1049,0.0086,10,OK
4x4/faciles/23.txt,4,faciles,True,1060,0.0086,10,OK
4x4/faciles/24.txt,4,faciles,True,1062,0.0151,10,OK
4x4/faciles/25.txt,4,faciles,True,1042,0.0084,10,OK
4x4/faciles/26.txt,4,faciles,True,857,0.0008,8,OK
4x4/faciles/27.txt,4,faciles,True,1049,0.009,10,OK
4x4/faciles/28.txt,4,faciles,True,1055,0.0086,10,OK
4x4/faciles/29.txt,4,faciles,True,1060,0.0091,10,OK
4x4/faciles/30.txt,4,faciles,True,1041,0.0081,10,OK
4x4/faciles/31.txt,4,faciles,True,1050,0.0159,10,OK
4x4/faciles/32.txt,4,faciles,True,1062,0.0162,10,OK
4x4/faciles/33.txt,4,faciles,True,1049,0.0085,10,OK
4x4/faciles/34.txt,4,faciles,True,1041,0.0083,10,OK
4x4/faciles/35.txt,4,faciles,True,1062,0.0162,10,OK
4x4/faciles/36.txt,4,faciles,True,1042,0.0089,10,OK
4x4/faciles/37.txt,4,faciles,True,1048,0.0084,10,OK
4x4/faciles/38.txt,4,faciles,True,712,0.0007,8,OK
4x4/faciles/39.txt,4,faciles,True,1055,0.0085,10,OK
4x4/faciles/40.txt,4,faciles,True,1065,0.0092,10,OK
4x4/faciles/41.txt,4,faciles,True,1049,0.0075,10,OK
4x4/faciles/42.txt,4,faciles,True,1049,0.0087,10,OK
4x4/faciles/43.txt,4,faciles,True,1065,0.0088,10,OK
4x4/faciles/44.txt,4,faciles,True,1048,0.0087,10,OK
4x4/faciles/45.txt,4,faciles,True,1042,0.0087,10,OK
4x4/faciles/46.txt,4,faciles,True,1042,0.0085,10,OK
4x4/faciles/47.txt,4,faciles,True,1067,0.0165,10,OK
4x4/faciles/48.txt,4,faciles,True,1048,0.009,10,OK
4x4/faciles/49.txt,4,faciles,True,1049,0.0081,10,OK
4x4/faciles/50.txt,4,faciles,True,1067,0.0163,10,OK
4x4/faciles/51.txt,4,faciles,True,1049,0.0085,10,OK
4x4/faciles/52.txt,4,faciles,True,1048,0.009,10,OK
4x4/faciles/53.txt,4,faciles,True,1062,0.0152,10,OK
4x4/faciles/54.txt,4,faciles,True,1062,0.0162,10,OK
4x4/faciles/55.txt,4,faciles,True,1042,0.0085,10,OK
4x4/faciles/56.txt,4,faciles,True,1042,0.0086,10,OK
4x4/faciles/57.txt,4,faciles,True,1041,0.0085,10,OK
4x4/faciles/58.txt,4,faciles,True,1041,0.008,10,OK
4x4/faciles/59.txt,4,faciles,True,1060,0.0085,10,OK
4x4/faciles/60.txt,4,faciles,True,1041,0.0079,10,OK
4x4/faciles/61.txt,4,faciles,True,1057,0.0163,10,OK
4x4/faciles/62.txt,4,faciles,True,1042,0.0085,10,OK
4x4/faciles/63.txt,4,faciles,True,1067,0.0173,10,OK
4x4/faciles/64.txt,4,faciles,True,1062,0.0171,10,OK
4x4/faciles/65.txt,4,faciles,True,1041,0.0086,10,OK
4x4/faciles/66.txt,4,faciles,True,1042,0.0085,10,OK
4x4/faciles/67.txt,4,faciles,True,1062,0.0174,10,OK
4x4/faciles/68.txt,4,faciles,True,1062,0.0171,10,OK
4x4/faciles/69.txt,4,faciles,True,1042,0.008,10,OK
4x4/faciles/70.txt,4,faciles,True,1050,0.0157,10,OK
4x4/faciles/71.txt,4,faciles,True,1060,0.0088,10,OK
